,0
0,0.03
1,-0.16
2,0.98
3,-0.01
4,-0.15
5,1.01
6,0.01
7,-0.18
8,0.99
9,0.03
10,-0.15
11,0.99
12,-0.01
13,-0.16
14,1.01
15,0.02
16,-0.18
17,0.99
18,0.01
19,-0.14
20,1.0
21,-0.01
22,-0.17
23,1.01
24,0.03
25,-0.17
26,0.98
27,-0.0
28,-0.14
29,1.01
30,-0.0
31,-0.18
32,1.0
33,0.03
34,-0.15
35,0.99
36,-0.01
37,-0.15
38,1.01
39,0.01
40,-0.18
41,0.99
42,0.02
43,-0.14
44,0.99
45,-0.01
46,-0.16
47,1.01
48,0.02
49,-0.18
50,0.99
51,0.01
52,-0.14
53,1.0
54,-0.01
55,-0.18
56,1.01
57,0.03
58,-0.16
59,0.98
60,-0.0
61,-0.14
62,1.01
63,0.0
64,-0.18
65,1.0
66,0.03
67,-0.15
68,0.99
69,-0.01
70,-0.16
71,1.01
72,0.01
73,-0.18
74,0.99
75,0.02
76,-0.14
77,0.99
78,-0.01
79,-0.17
80,1.01
81,0.02
82,-0.17
83,0.99
84,0.01
85,-0.14
86,1.0
87,-0.01
88,-0.18
89,1.01
90,0.03
91,-0.16
92,0.98
93,-0.0
94,-0.14
95,1.01
96,0.0
97,-0.18
98,1.0
99,0.03
100,-0.15
101,0.99
102,-0.01
103,-0.16
104,1.01
105,0.02
106,-0.18
107,0.99
108,0.02
109,-0.14
110,0.99
111,-0.01
112,-0.17
113,1.01
114,0.03
115,-0.17
116,0.99
117,0.0
118,-0.14
119,1.0
120,-0.01
121,-0.18
122,1.0
123,0.03
124,-0.16
125,0.98
126,-0.01
127,-0.15
128,1.01
129,0.01
130,-0.18
131,1.0
132,0.03
133,-0.14
134,0.99
135,-0.01
136,-0.16
137,1.01
138,0.02
139,-0.18
140,0.99
141,0.01
142,-0.14
143,1.0
144,-0.01
145,-0.17
146,1.01
147,0.03
148,-0.17
149,0.98
150,0.0
151,-0.14
152,1.01
153,-0.0
154,-0.18
155,1.0
156,0.03
157,-0.15
158,0.98
159,-0.01
160,-0.15
161,1.01
162,0.01
163,-0.18
164,0.99
165,0.02
166,-0.14
167,0.99
168,-0.01
169,-0.16
170,1.01
171,0.02
172,-0.18
173,0.99
174,0.01
175,-0.14
176,1.0
177,-0.01
178,-0.18
179,1.01
180,0.03
181,-0.16
182,0.98
183,-0.0
184,-0.14
185,1.01
186,-0.0
187,-0.18
188,1.0
189,0.03
190,-0.15
191,0.99
192,0.02
193,-0.14
194,1.0
195,-0.01
196,-0.17
197,1.01
198,0.02
199,-0.17
200,0.99
201,0.01
202,-0.14
203,1.0
204,-0.01
205,-0.18
206,1.01
207,0.03
208,-0.16
209,0.98
210,-0.01
211,-0.14
212,1.01
213,0.0
214,-0.18
215,1.0
216,0.03
217,-0.15
218,0.99
219,-0.01
220,-0.16
221,1.01
222,0.02
223,-0.18
224,0.99
225,0.02
226,-0.14
227,1.0
228,-0.01
229,-0.17
230,1.01
231,0.03
232,-0.17
233,0.99
234,0.01
235,-0.14
236,1.0
237,-0.01
238,-0.18
239,1.0
240,0.03
241,-0.16
242,0.98
243,-0.01
244,-0.15
245,1.01
246,0.01
247,-0.18
248,1.0
249,0.03
250,-0.15
251,0.99
252,-0.01
253,-0.16
254,1.01
255,0.02
256,-0.18
257,0.99
258,0.02
259,-0.14
260,1.0
261,-0.01
262,-0.17
263,1.01
264,0.03
265,-0.17
266,0.98
267,0.0
268,-0.14
269,1.01
270,-0.0
271,-0.18
272,1.0
273,0.03
274,-0.15
275,0.99
276,-0.01
277,-0.15
278,1.01
279,0.01
280,-0.18
281,1.0
282,0.03
283,-0.14
284,0.99
285,-0.01
286,-0.16
287,1.01
288,0.02
289,-0.18
290,0.99
291,0.01
292,-0.14
293,1.0
294,-0.01
295,-0.18
296,1.01
297,0.03
298,-0.16
299,0.98
300,-0.0
301,-0.14
302,1.01
303,-0.0
304,-0.18
305,1.0
306,0.03
307,-0.15
308,0.99
309,-0.01
310,-0.15
311,1.01
312,0.01
313,-0.18
314,0.99
315,0.02
316,-0.14
317,1.0
318,-0.01
319,-0.16
320,1.01
321,0.02
322,-0.17
323,0.99
324,0.01
325,-0.14
326,1.0
327,-0.01
328,-0.18
329,1.01
330,0.03
331,-0.16
332,0.98
333,-0.0
334,-0.14
335,1.01
336,0.0
337,-0.18
338,1.0
339,0.03
340,-0.15
341,0.99
342,-0.01
343,-0.16
344,1.01
345,0.02
346,-0.18
347,0.99
348,0.02
349,-0.14
350,1.0
351,-0.01
352,-0.17
353,1.01
354,0.03
355,-0.17
356,0.98
357,0.01
358,-0.14
359,1.0
360,-0.01
361,-0.18
362,1.01
363,0.03
364,-0.16
365,0.98
366,-0.01
367,-0.15
368,1.01
369,0.01
370,-0.18
371,1.0
372,0.03
373,-0.15
374,0.99
375,-0.01
376,-0.16
377,1.01
378,0.02
379,-0.18
380,0.99
381,0.01
382,-0.14
383,1.0
384,0.0
385,-0.14
386,1.01
387,-0.01
388,-0.18
389,1.0
390,0.03
391,-0.15
392,0.99
393,-0.01
394,-0.15
395,1.01
396,0.01
397,-0.18
398,0.99
399,0.02
400,-0.14
401,0.99
402,-0.01
403,-0.16
404,1.01
405,0.02
406,-0.18
407,0.99
408,0.01
409,-0.14
410,1.0
411,-0.01
412,-0.18
413,1.01
414,0.03
415,-0.16
416,0.98
417,-0.0
418,-0.14
419,1.01
420,-0.0
421,-0.18
422,1.0
423,0.03
424,-0.15
425,0.99
426,-0.01
427,-0.15
428,1.01
429,0.01
430,-0.18
431,0.99
432,0.02
433,-0.14
434,0.99
435,-0.01
436,-0.17
437,1.01
438,0.03
439,-0.17
440,0.99
441,0.01
442,-0.14
443,1.0
444,-0.01
445,-0.18
446,1.01
447,0.03
448,-0.16
449,0.98
450,-0.0
451,-0.14
452,1.01
453,0.0
454,-0.18
455,1.0
456,0.03
457,-0.15
458,0.99
459,-0.01
460,-0.16
461,1.01
462,0.02
463,-0.18
464,0.99
465,0.02
466,-0.14
467,1.0
468,-0.01
469,-0.17
470,1.01
471,0.03
472,-0.17
473,0.99
474,0.01
475,-0.14
476,1.0
477,-0.0
478,-0.18
479,1.0
480,0.03
481,-0.16
482,0.98
483,-0.01
484,-0.15
485,1.01
486,0.01
487,-0.18
488,1.0
489,0.03
490,-0.15
491,0.99
492,-0.01
493,-0.16
494,1.01
495,0.02
496,-0.18
497,0.99
498,0.01
499,-0.14
500,1.0
501,-0.01
502,-0.17
503,1.01
504,0.03
505,-0.17
506,0.98
507,0.0
508,-0.14
509,1.01
510,-0.0
511,-0.18
512,1.0
513,0.03
514,-0.15
515,0.99
516,-0.01
517,-0.15
518,1.01
519,0.01
520,-0.18
521,0.99
522,0.02
523,-0.14
524,0.99
525,-0.01
526,-0.16
527,1.01
528,0.02
529,-0.18
530,0.99
531,0.01
532,-0.14
533,1.0
534,-0.01
535,-0.18
536,1.01
537,0.03
538,-0.16
539,0.98
540,-0.0
541,-0.14
542,1.01
543,0.0
544,-0.18
545,1.0
546,0.03
547,-0.15
548,0.99
549,-0.01
550,-0.15
551,1.01
552,0.02
553,-0.18
554,0.99
555,0.02
556,-0.14
557,1.0
558,-0.01
559,-0.17
560,1.01
561,0.03
562,-0.17
563,0.99
564,0.01
565,-0.14
566,1.0
567,-0.01
568,-0.18
569,1.0
570,0.03
571,-0.16
572,0.98
573,-0.01
574,-0.15
575,1.01
576,-0.01
577,-0.16
578,1.01
579,0.02
580,-0.18
581,0.99
582,0.02
583,-0.14
584,1.0
585,-0.01
586,-0.17
587,1.01
588,0.03
589,-0.17
590,0.99
591,0.0
592,-0.14
593,1.01
594,-0.0
595,-0.18
596,1.0
597,0.03
598,-0.16
599,0.98
600,-0.01
601,-0.15
602,1.01
603,0.01
604,-0.18
605,1.0
606,0.03
607,-0.14
608,0.99
609,-0.01
610,-0.16
611,1.01
612,0.02
613,-0.18
614,0.99
615,0.01
616,-0.14
617,1.0
618,-0.01
619,-0.18
620,1.01
621,0.03
622,-0.17
623,0.98
624,-0.0
625,-0.14
626,1.01
627,-0.0
628,-0.18
629,1.0
630,0.03
631,-0.15
632,0.99
633,-0.01
634,-0.15
635,1.01
636,0.01
637,-0.18
638,0.99
639,0.02
640,-0.14
641,0.99
642,-0.01
643,-0.17
644,1.01
645,0.02
646,-0.18
647,0.99
648,0.01
649,-0.14
650,1.0
651,-0.01
652,-0.18
653,1.01
654,0.03
655,-0.16
656,0.98
657,-0.0
658,-0.14
659,1.01
660,0.0
661,-0.18
662,1.0
663,0.03
664,-0.15
665,0.99
666,-0.01
667,-0.16
668,1.01
669,0.01
670,-0.18
671,0.99
672,0.02
673,-0.14
674,1.0
675,-0.01
676,-0.17
677,1.01
678,0.03
679,-0.17
680,0.99
681,0.01
682,-0.14
683,1.0
684,-0.01
685,-0.18
686,1.01
687,0.03
688,-0.16
689,0.98
690,-0.01
691,-0.15
692,1.01
693,0.0
694,-0.18
695,1.0
696,0.03
697,-0.15
698,0.99
699,-0.01
700,-0.16
701,1.01
702,0.02
703,-0.18
704,0.99
705,0.02
706,-0.14
707,1.0
708,-0.01
709,-0.17
710,1.01
711,0.03
712,-0.17
713,0.98
714,0.0
715,-0.14
716,1.01
717,-0.0
718,-0.18
719,1.0
720,0.03
721,-0.15
722,0.99
723,-0.01
724,-0.15
725,1.01
726,0.01
727,-0.18
728,0.99
729,0.02
730,-0.14
731,0.99
732,-0.01
733,-0.16
734,1.01
735,0.02
736,-0.18
737,0.99
738,0.01
739,-0.14
740,1.0
741,-0.01
742,-0.17
743,1.01
744,0.03
745,-0.17
746,0.98
747,-0.0
748,-0.14
749,1.01
750,-0.0
751,-0.18
752,1.0
753,0.03
754,-0.15
755,0.99
756,-0.01
757,-0.15
758,1.01
759,0.01
760,-0.18
761,0.99
762,0.02
763,-0.14
764,0.99
765,-0.01
766,-0.16
767,1.01
768,-0.01
769,-0.18
770,1.01
771,0.03
772,-0.16
773,0.98
774,-0.0
775,-0.14
776,1.01
777,-0.0
778,-0.18
779,1.0
780,0.03
781,-0.15
782,0.99
783,-0.01
784,-0.16
785,1.01
786,0.01
787,-0.18
788,0.99
789,0.02
790,-0.14
791,1.0
792,-0.01
793,-0.17
794,1.01
795,0.03
796,-0.17
797,0.99
798,0.01
799,-0.14
800,1.0
801,-0.01
802,-0.18
803,1.01
804,0.03
805,-0.16
806,0.98
807,-0.01
808,-0.15
809,1.01
810,0.0
811,-0.18
812,1.0
813,0.03
814,-0.15
815,0.99
816,-0.01
817,-0.16
818,1.01
819,0.02
820,-0.18
821,0.99
822,0.02
823,-0.14
824,1.0
825,-0.01
826,-0.17
827,1.01
828,0.03
829,-0.17
830,0.98
831,0.0
832,-0.14
833,1.01
834,-0.0
835,-0.18
836,1.0
837,0.03
838,-0.16
839,0.98
840,-0.01
841,-0.15
842,1.01
843,0.01
844,-0.18
845,1.0
846,0.03
847,-0.15
848,0.99
849,-0.01
850,-0.16
851,1.01
852,0.02
853,-0.18
854,0.99
855,0.01
856,-0.14
857,1.0
858,-0.01
859,-0.17
860,1.01
861,0.03
862,-0.17
863,0.98
864,-0.0
865,-0.14
866,1.01
867,-0.0
868,-0.18
869,1.0
870,0.03
871,-0.15
872,0.99
873,-0.01
874,-0.15
875,1.01
876,0.01
877,-0.18
878,0.99
879,0.02
880,-0.14
881,0.99
882,-0.01
883,-0.17
884,1.01
885,0.02
886,-0.18
887,0.99
888,0.01
889,-0.14
890,1.0
891,-0.01
892,-0.18
893,1.01
894,0.03
895,-0.16
896,0.98
897,-0.0
898,-0.14
899,1.01
900,-0.0
901,-0.18
902,1.0
903,0.03
904,-0.15
905,0.99
906,-0.01
907,-0.15
908,1.01
909,0.01
910,-0.18
911,0.99
912,0.02
913,-0.14
914,0.99
915,-0.01
916,-0.17
917,1.01
918,0.02
919,-0.17
920,0.99
921,0.01
922,-0.14
923,1.0
924,-0.01
925,-0.18
926,1.01
927,0.03
928,-0.16
929,0.98
930,-0.0
931,-0.14
932,1.01
933,0.0
934,-0.18
935,1.0
936,0.03
937,-0.15
938,0.99
939,-0.01
940,-0.16
941,1.01
942,0.01
943,-0.18
944,0.99
945,0.02
946,-0.14
947,1.0
948,-0.01
949,-0.17
950,1.01
951,0.03
952,-0.17
953,0.99
954,0.01
955,-0.14
956,1.0
957,-0.01
958,-0.18
959,1.0
960,0.0
961,-0.18
962,1.0
963,0.03
964,-0.15
965,0.99
966,-0.01
967,-0.16
968,1.01
969,0.02
970,-0.18
971,0.99
972,0.02
973,-0.14
974,1.0
975,-0.01
976,-0.17
977,1.01
978,0.03
979,-0.17
980,0.99
981,0.0
982,-0.14
983,1.01
984,-0.01
985,-0.18
986,1.01
987,0.03
988,-0.16
989,0.98
990,-0.01
991,-0.15
992,1.01
993,0.01
994,-0.18
995,0.99
996,0.03
997,-0.15
998,0.99
999,-0.01
1000,-0.16
1001,1.01
1002,0.02
1003,-0.18
1004,0.99
1005,0.01
1006,-0.14
1007,1.0
1008,-0.01
1009,-0.17
1010,1.01
1011,0.03
1012,-0.17
1013,0.98
1014,0.0
1015,-0.14
1016,1.01
1017,-0.0
1018,-0.18
1019,1.0
1020,0.03
1021,-0.16
1022,0.98
1023,-0.01
1024,-0.15
1025,1.01
1026,0.01
1027,-0.18
1028,1.0
1029,0.03
1030,-0.14
1031,0.99
1032,-0.01
1033,-0.16
1034,1.01
1035,0.02
1036,-0.18
1037,0.99
1038,0.01
1039,-0.14
1040,1.0
1041,-0.01
1042,-0.17
1043,1.01
1044,0.03
1045,-0.17
1046,0.98
1047,0.0
1048,-0.14
1049,1.01
1050,-0.0
1051,-0.18
1052,1.0
1053,0.03
1054,-0.15
1055,0.98
1056,-0.01
1057,-0.15
1058,1.01
1059,0.01
1060,-0.18
1061,0.99
1062,0.02
1063,-0.14
1064,0.99
1065,-0.01
1066,-0.16
1067,1.01
1068,0.02
1069,-0.18
1070,0.99
1071,0.01
1072,-0.14
1073,1.0
1074,-0.01
1075,-0.17
1076,1.01
1077,0.03
1078,-0.16
1079,0.98
1080,-0.0
1081,-0.14
1082,1.01
1083,-0.0
1084,-0.18
1085,1.0
1086,0.03
1087,-0.15
1088,0.99
1089,-0.01
1090,-0.15
1091,1.01
1092,0.01
1093,-0.18
1094,0.99
1095,0.03
1096,-0.15
1097,0.99
1098,-0.01
1099,-0.16
1100,1.01
1101,0.02
1102,-0.18
1103,0.99
1104,0.01
1105,-0.14
1106,1.0
1107,-0.01
1108,-0.17
1109,1.01
1110,0.03
1111,-0.16
1112,0.98
1113,-0.0
1114,-0.15
1115,1.01
1116,-0.0
1117,-0.18
1118,1.0
1119,0.03
1120,-0.15
1121,0.99
1122,-0.01
1123,-0.15
1124,1.01
1125,0.01
1126,-0.18
1127,0.99
1128,0.02
1129,-0.15
1130,0.99
1131,-0.01
1132,-0.17
1133,1.01
1134,0.02
1135,-0.18
1136,0.99
1137,0.01
1138,-0.14
1139,1.0
1140,-0.01
1141,-0.17
1142,1.01
1143,0.03
1144,-0.16
1145,0.98
1146,-0.0
1147,-0.14
1148,1.01
1149,-0.0
1150,-0.18
1151,1.0
1152,0.01
1153,-0.18
1154,0.99
1155,0.02
1156,-0.14
1157,0.99
1158,-0.02
1159,-0.16
1160,1.01
1161,0.02
1162,-0.17
1163,0.99
1164,0.01
1165,-0.14
1166,1.0
1167,-0.01
1168,-0.17
1169,1.01
1170,0.03
1171,-0.16
1172,0.98
1173,-0.0
1174,-0.14
1175,1.01
1176,-0.0
1177,-0.18
1178,1.0
1179,0.03
1180,-0.15
1181,0.99
1182,-0.01
1183,-0.15
1184,1.01
1185,0.01
1186,-0.18
1187,0.99
1188,0.02
1189,-0.14
1190,0.99
1191,-0.02
1192,-0.16
1193,1.01
1194,0.02
1195,-0.17
1196,0.99
1197,0.01
1198,-0.14
1199,1.0
1200,-0.01
1201,-0.17
1202,1.01
1203,0.03
1204,-0.16
1205,0.98
1206,-0.01
1207,-0.14
1208,1.01
1209,-0.0
1210,-0.18
1211,1.0
1212,0.04
1213,-0.15
1214,0.98
1215,-0.01
1216,-0.15
1217,1.01
1218,0.01
1219,-0.18
1220,1.0
1221,0.02
1222,-0.15
1223,0.99
1224,-0.01
1225,-0.17
1226,1.01
1227,0.03
1228,-0.17
1229,0.99
1230,0.01
1231,-0.14
1232,1.0
1233,-0.01
1234,-0.17
1235,1.01
1236,0.03
1237,-0.17
1238,0.98
1239,-0.0
1240,-0.14
1241,1.01
1242,0.0
1243,-0.18
1244,1.0
1245,0.03
1246,-0.15
1247,0.99
1248,-0.01
1249,-0.16
1250,1.01
1251,0.01
1252,-0.18
1253,0.99
1254,0.02
1255,-0.14
1256,0.99
1257,-0.02
1258,-0.16
1259,1.01
1260,0.03
1261,-0.18
1262,0.99
1263,0.01
1264,-0.14
1265,1.0
1266,-0.01
1267,-0.17
1268,1.0
1269,0.02
1270,-0.16
1271,0.99
1272,-0.0
1273,-0.15
1274,1.01
1275,0.01
1276,-0.18
1277,1.0
1278,0.03
1279,-0.15
1280,0.99
1281,-0.01
1282,-0.15
1283,1.01
1284,0.01
1285,-0.18
1286,1.0
1287,0.03
1288,-0.15
1289,0.99
1290,-0.01
1291,-0.16
1292,1.01
1293,0.02
1294,-0.17
1295,0.99
1296,0.01
1297,-0.15
1298,1.0
1299,-0.01
1300,-0.18
1301,1.0
1302,0.03
1303,-0.16
1304,0.98
1305,-0.01
1306,-0.14
1307,1.01
1308,0.0
1309,-0.19
1310,1.0
1311,0.03
1312,-0.15
1313,0.98
1314,-0.02
1315,-0.15
1316,1.01
1317,0.01
1318,-0.18
1319,1.0
1320,0.03
1321,-0.15
1322,0.99
1323,-0.01
1324,-0.16
1325,1.01
1326,0.02
1327,-0.17
1328,0.99
1329,0.01
1330,-0.15
1331,1.01
1332,-0.01
1333,-0.18
1334,1.0
1335,0.03
1336,-0.16
1337,0.98
1338,-0.01
1339,-0.14
1340,1.01
1341,-0.0
1342,-0.19
1343,1.0
1344,0.01
1345,-0.18
1346,1.0
1347,0.03
1348,-0.15
1349,0.99
1350,-0.01
1351,-0.16
1352,1.01
1353,0.02
1354,-0.17
1355,0.99
1356,0.01
1357,-0.15
1358,1.01
1359,-0.0
1360,-0.18
1361,1.0
1362,0.03
1363,-0.15
1364,0.98
