Y,Anom,Buffer_length,Subsampling,Precision,Confidence,Source_file_nom,Source_file_abn
Y1,KA04CSV,64,2048,0.75815,0.80255,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KA04CSV,64,2048,0.7749999999999999,0.623,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,KA04CSV,64,2048,0.80685,0.76275,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y1,KA15CSV,64,2048,0.7513,0.7544500000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KA15CSV,64,2048,0.75625,0.76505,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,KA15CSV,64,2048,0.80065,0.6453,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y1,KA22CSV,64,2048,0.74815,0.77685,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KA22CSV,64,2048,0.76875,0.6448,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,KA22CSV,64,2048,0.80065,0.6453,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y1,KA30CSV,64,2048,0.76685,0.6890000000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KA30CSV,64,2048,0.79435,0.6051500000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,KA30CSV,64,2048,0.81375,0.8050999999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y1,KB23CSV,64,2048,0.78125,0.602,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KB23CSV,64,2048,0.75815,0.64185,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
Y3,KB23CSV,64,2048,0.7968999999999999,0.6710499999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y3_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y3_train_64_F_2048.csv
Y1,KB24CSV,64,2048,0.7756,0.7428,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y1_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y1_train_64_F_2048.csv
Y2,KB24CSV,64,2048,0.75815,0.64185,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y2_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y2_train_64_F_2048.csv
