Y,Anom,Buffer_length,Subsampling,Precision,Confidence,Source_file_nom,Source_file_abn
Y12,KA04CSV,64,2048,0.84625,0.7759499999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KA04CSV,64,2048,0.732679,0.495751,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KA15CSV,64,2048,0.81065,0.8276,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KA15CSV,64,2048,0.733161,0.494687,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KA22CSV,64,2048,0.80505,0.7383500000000001,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KA22CSV,64,2048,0.733987,0.494607,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KA30CSV,64,2048,0.81935,0.70635,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KA30CSV,64,2048,0.730186,0.493623,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KB23CSV,64,2048,0.845,0.7327999999999999,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KB23CSV,64,2048,0.734043,0.495545,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KB24CSV,64,2048,0.79255,0.8086,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KB24CSV,64,2048,0.733648,0.493494,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
Y12,KB27CSV,64,2048,0.8311999999999999,0.7488,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y12_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y12_train_64_F_2048.csv
Y123,KB27CSV,64,2048,0.73267,0.495667,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/nom_Y123_train_64_F_2048.csv,/media/ludusmagnus/b3008e59-6246-4c41-a0ce-b9090b4d8f99/data_trans/abn_Y123_train_64_F_2048.csv
